itinerario_id,cruce_id,sentido,instante_paso_s,hcall_in_s,hcall_out_s
1,17,,61916,61778,61926
1,17,,61924,61867,61934
1,17,,62636,62498,62646
1,17,,62824,62767,62834
1,17,,63356,63218,63366
1,17,,63974,63917,63984
1,17,,64076,63938,64086
1,17,,64694,64637,64704
1,17,,64796,64658,64806
1,17,,65414,65357,65424
1,17,,65516,65378,65526
1,17,,66134,66077,66144
1,17,,66236,66098,66246
1,17,,66854,66797,66864
1,17,,66956,66818,66966
1,17,,67574,67517,67584
1,17,,67976,67838,67986
1,17,,68294,68237,68304
1,17,,68876,68738,68886
1,17,,69014,68957,69024
1,17,,69734,69677,69744
1,17,,69896,69758,69906
1,17,,70454,70397,70464
1,17,,70736,70598,70746
1,17,,71054,70997,71064
1,17,,71396,71258,71406
1,17,,71474,71417,71484
1,17,,72254,72197,72264
1,17,,72596,72458,72606
1,17,,73024,72967,73034
1,17,,73256,73118,73266
1,17,,73924,73867,73934
1,17,,74396,74258,74406
1,17,,74824,74767,74834
1,17,,75296,75158,75306
1,17,,75724,75667,75734
1,17,,76196,76058,76206
1,17,,76624,76567,76634
1,17,,77266,77128,77276
1,17,,77524,77467,77534
1,17,,78296,78158,78306
1,17,,78424,78367,78434
1,17,,79324,79267,79334
1,17,,79496,79358,79506
1,17,,80146,80008,80156
1,17,,80224,80167,80234
1,17,,82624,82567,82634
1,17,,84124,84067,84134
1,16,,21789,21732,21799
1,16,,22041,21984,22051
1,16,,22881,22824,22891
1,16,,23349,23292,23359
1,16,,23541,23484,23551
1,16,,23921,23864,23931
1,16,,24561,24504,24571
1,16,,25401,25344,25411
1,16,,25821,25764,25831
1,16,,26129,26072,26139
1,16,,26421,26364,26431
1,16,,26849,26792,26859
1,16,,27081,27024,27091
1,16,,27501,27444,27511
1,16,,27809,27752,27819
1,16,,27921,27864,27931
1,16,,28461,28404,28471
1,16,,28709,28652,28719
1,16,,29121,29064,29131
1,16,,29669,29612,29679
1,16,,29781,29724,29791
1,16,,30389,30332,30399
1,16,,30571,30514,30581
1,16,,31291,31234,31301
1,16,,31769,31712,31779
1,16,,32191,32134,32201
1,16,,32429,32372,32439
1,16,,33089,33032,33099
1,16,,33211,33154,33221
1,16,,33749,33692,33759
1,16,,33991,33934,34001
1,16,,34409,34352,34419
1,16,,35129,35072,35139
1,16,,35491,35434,35501
1,16,,36029,35972,36039
1,16,,36391,36334,36401
1,16,,36991,36934,37001
1,16,,37229,37172,37239
1,16,,38129,38072,38139
1,16,,39091,39034,39101
1,16,,39629,39572,39639
1,16,,40291,40234,40301
1,16,,41491,41434,41501
1,16,,42391,42334,42401
1,16,,43229,43172,43239
1,16,,44129,44072,44139
1,16,,44791,44734,44801
1,16,,45629,45572,45639
1,16,,45691,45634,45701
1,16,,46409,46352,46419
1,16,,48629,48572,48639
1,16,,49529,49472,49539
1,16,,50491,50434,50501
1,16,,52891,52834,52901
1,16,,53791,53734,53801
1,16,,54329,54272,54339
1,16,,56729,56672,56739
1,16,,56791,56734,56801
1,16,,57629,57572,57639
1,16,,58591,58534,58601
1,16,,60629,60572,60639
1,16,,61291,61234,61301
1,16,,61829,61772,61839
1,16,,62011,61954,62021
1,16,,62729,62672,62739
1,16,,62731,62674,62741
1,16,,63451,63394,63461
1,16,,63879,63822,63889
1,16,,64171,64114,64181
1,16,,64599,64542,64609
1,16,,64891,64834,64901
1,16,,65319,65262,65329
1,16,,65611,65554,65621
1,16,,66039,65982,66049
1,16,,66331,66274,66341
1,16,,66759,66702,66769
1,16,,67051,66994,67061
1,16,,67479,67422,67489
1,16,,68071,68014,68081
1,16,,68199,68142,68209
1,16,,68919,68862,68929
1,16,,68971,68914,68981
1,16,,69639,69582,69649
1,16,,69991,69934,70001
1,16,,70359,70302,70369
1,16,,70831,70774,70841
1,16,,70959,70902,70969
1,16,,71379,71322,71389
1,16,,71491,71434,71501
1,16,,72159,72102,72169
1,16,,72691,72634,72701
1,16,,72929,72872,72939
1,16,,73351,73294,73361
1,16,,73829,73772,73839
1,16,,74491,74434,74501
1,16,,74729,74672,74739
1,16,,75391,75334,75401
1,16,,75629,75572,75639
1,16,,76291,76234,76301
1,16,,76529,76472,76539
1,16,,77361,77304,77371
