version_prog_id,cruce_id,plan_id,fase_id,duracion_s,entreverde_s,cum_inicio_s,cum_fin_s,es_verde_lateral,ciclo_s,fase_origen,fuente
1,18,5,2,22,4,56,78,1,78,B,eje Montt y Los Laboreos.xlsx
1,18,6,1,50,4,0,54,0,84,A,eje Montt y Los Laboreos.xlsx
1,18,6,2,26,4,58,84,1,84,B,eje Montt y Los Laboreos.xlsx
1,18,7,1,56,4,0,60,0,86,A,eje Montt y Los Laboreos.xlsx
1,18,7,2,22,4,64,86,1,86,B,eje Montt y Los Laboreos.xlsx
1,20,1,1,46,4,0,50,0,100,A,eje Montt y Los Laboreos.xlsx
1,20,1,2,17,4,54,71,0,100,B,eje Montt y Los Laboreos.xlsx
1,20,1,3,25,4,75,100,1,100,C,eje Montt y Los Laboreos.xlsx
1,20,2,1,29,4,0,33,0,90,A,eje Montt y Los Laboreos.xlsx
1,20,2,2,26,4,37,63,0,90,B,eje Montt y Los Laboreos.xlsx
1,20,2,3,23,4,67,90,1,90,C,eje Montt y Los Laboreos.xlsx
1,20,3,1,33,4,0,37,0,80,A,eje Montt y Los Laboreos.xlsx
1,20,3,2,20,4,41,61,0,80,B,eje Montt y Los Laboreos.xlsx
1,20,3,3,15,4,65,80,1,80,C,eje Montt y Los Laboreos.xlsx
1,20,4,1,30,4,0,34,0,86,A,eje Montt y Los Laboreos.xlsx
1,20,4,2,22,4,38,60,0,86,B,eje Montt y Los Laboreos.xlsx
1,20,4,3,22,4,64,86,1,86,C,eje Montt y Los Laboreos.xlsx
1,20,5,1,27,4,0,31,0,78,A,eje Montt y Los Laboreos.xlsx
1,20,5,2,21,4,35,56,0,78,B,eje Montt y Los Laboreos.xlsx
1,20,5,3,18,4,60,78,1,78,C,eje Montt y Los Laboreos.xlsx
1,20,6,1,35,4,0,39,0,84,A,eje Montt y Los Laboreos.xlsx
1,20,6,2,21,4,43,64,0,84,B,eje Montt y Los Laboreos.xlsx
1,20,6,3,16,4,68,84,1,84,C,eje Montt y Los Laboreos.xlsx
1,20,7,1,33,4,0,37,0,86,A,eje Montt y Los Laboreos.xlsx
1,20,7,2,13,4,41,54,0,86,B,eje Montt y Los Laboreos.xlsx
1,20,7,3,28,4,58,86,1,86,C,eje Montt y Los Laboreos.xlsx
1,21,1,1,71,4,0,75,0,110,A,eje Montt y Los Laboreos.xlsx
1,21,1,2,31,4,79,110,1,110,B,eje Montt y Los Laboreos.xlsx
1,21,2,1,64,4,0,68,0,100,A,eje Montt y Los Laboreos.xlsx
1,21,2,2,28,4,72,100,1,100,B,eje Montt y Los Laboreos.xlsx
1,21,3,1,63,4,0,67,0,100,A,eje Montt y Los Laboreos.xlsx
1,21,3,2,29,4,71,100,1,100,B,eje Montt y Los Laboreos.xlsx
1,21,4,1,62,4,0,66,0,96,A,eje Montt y Los Laboreos.xlsx
1,21,4,2,26,4,70,96,1,96,B,eje Montt y Los Laboreos.xlsx
1,21,5,1,56,4,0,60,0,88,A,eje Montt y Los Laboreos.xlsx
1,21,5,2,24,4,64,88,1,88,B,eje Montt y Los Laboreos.xlsx
1,21,6,1,62,4,0,66,0,94,A,eje Montt y Los Laboreos.xlsx
1,21,6,2,24,4,70,94,1,94,B,eje Montt y Los Laboreos.xlsx
1,21,7,1,65,4,0,69,0,96,A,eje Montt y Los Laboreos.xlsx
1,21,7,2,23,4,73,96,1,96,B,eje Montt y Los Laboreos.xlsx
